Region,GDP_Gr,Invest,Insur_gr,Unemp_gr,Export,z_GDP_Gr,z_Invest,z_Insur_gr,z_Unemp_gr,z_Export,ERI,ERI_norm
上海,5.566666666666667,7.8,8.636974052001213,80.45194569727194,143863922.61333334,-0.11379887478341577,0.8305317696125595,0.12578807536738779,-2.7127543887556467,0.8287918459335732,-0.20828831452510838,0.35168817382609696
云南,6.449999999999998,6.733333333333333,4.7951667365712325,14.308193424770751,13794909.846666666,0.7664814984235192,0.5479914693877108,-1.187187102195068,-0.050845651750684895,-0.4697863376007371,-0.07866922474705197,0.42047700273447897
内蒙古,4.1333333333333355,5.0,6.217812788123884,4.150140511710425,4003530.59,-1.5421783482890106,0.08886348152233156,-0.7009839173961417,0.3579580352375359,-0.5675411465207308,-0.4727763790892031,0.2113244029281415
北京,5.566666666666667,1.5333333333333334,10.112846303381,105.02822558034596,53197226.02,-0.11379887478341577,-0.8293924942084269,0.6301818338810153,-3.701809467976362,-0.07640295538654876,-0.8182443916947475,0.02798458737217154
吉林,3.9333333333333322,1.0333333333333339,8.12218121890665,-10.707989788635949,3227065.92,-1.7414871120339808,-0.9618332599388245,-0.05014740393828467,0.955913027254117,-0.5752931856828637,-0.47456958686796724,0.21037274786481866
四川,6.5,5.766666666666667,7.9723107831801245,8.193827246325553,47136322.373333335,0.8163086893597625,0.2919393223089416,-0.1013670893111245,0.19522270984750498,-0.1369135803282789,0.21303801037536116,0.5752859828201417
天津,4.349999999999999,6.966666666666666,4.686755425042073,2.080044129929822,33078381.016666666,-1.326260520898633,0.6097971600618962,-1.2242377268927422,0.44126760652406016,-0.27726473363426013,-0.3553396429679358,0.27364805882201493
宁夏,5.833333333333333,-1.366666666666667,6.522965507176415,9.622941886025336,1308792.8666666667,0.15194614354320585,-1.5975489354447345,-0.5966949948693698,0.13770899744234846,-0.5944447690164677,-0.4998067116690036,0.19697941002352892
安徽,6.400000000000001,7.8999999999999995,7.557491904248562,-2.5774001249847522,33096847.849999998,0.7166543074872803,0.8570199227586389,-0.24313549321674036,0.6287031711590125,-0.27708036514882656,0.336432308607873,0.640771315913594
山东,5.699999999999998,0.4666666666666668,7.776300723815008,11.443530476026895,135982129.56,0.01907363437989327,-1.1119327944332755,-0.16835544176318853,0.0644406915523077,0.7501018928964732,-0.08933440347355799,0.4148169941975332
山西,6.400000000000001,9.533333333333333,8.06846624505225,-3.6824358325904476,9954739.209999999,0.7166543074872803,1.2896597574779387,-0.06850502095124289,0.6731745551328089,-0.5081256907160732,0.42057158168614245,0.685424013831525
广东,5.513333333333335,8.200000000000001,11.038666346018651,37.650466954246035,457512978.45,-0.16694787844873887,0.936484382196878,0.9465898770410356,-0.990239014160548,3.960189651852877,0.9372154036963009,0.9596068023365398
广西,5.86666666666667,7.133333333333333,9.519448317390925,11.142696471365127,27475597.94666667,0.1851642708340371,0.6539440819720289,0.4273822757430189,0.07654754424639465,-0.3332015913609295,0.20196731628691006,0.5694107673495542
新疆,5.733333333333334,11.233333333333334,11.68991657165258,-1.9763399129412866,12032754.886666665,0.05229176167072363,1.7399583609612916,1.1691610031891453,0.6045139261444122,-0.48737927490677935,0.6157091554117586,0.7889834910319323
江苏,6.166666666666671,3.733333333333333,8.17322406208644,13.52542889682767,289066711.21666664,0.4841274164514891,-0.2466531249946764,-0.032703013685262225,-0.019343844484520534,2.278462059137154,0.49277789848483683,0.723743893880634
江西,6.86666666666667,9.4,8.070952823323559,-4.286891618869678,30268934.00333333,1.1817080895588716,1.2543422199498326,-0.06765520853764717,0.6975004526416325,-0.30531358648328594,0.5521163934258807,0.7552348230575752
河北,5.800000000000002,4.233333333333333,5.627038746096825,1.9836105902585184,26159054.766666666,0.11872801625237991,-0.11421235926427845,-0.9028867170535871,0.445148506427256,-0.3463456463119411,-0.15991363999003416,0.37736060537757377
河南,4.63333333333333,5.6000000000000005,11.191919872861524,10.857974200126199,42562653.14333334,-1.0439064389265986,0.24779240039880912,0.998965766849573,0.08800599157348853,-0.1825760094837514,0.021656342082304113,0.4737197639942434
浙江,6.5,8.733333333333334,11.37482695123415,10.284600519049224,261177434.0566667,0.8163086893597625,1.0777545323093023,1.0614760475550098,0.11108101164400894,2.000022128640511,1.013328481901719,1.0
海南,6.8666666666666645,3.0,10.08637743221353,23.391057940001104,3132111.0666666664,1.1817080895588665,-0.44089958139925983,0.6211358386064977,-0.4163791387309171,-0.5762411924243354,0.07386480312217043,0.5014267853920228
湖北,4.916666666666662,4.099999999999999,7.439612972351584,14.612333720931973,28587617.566666666,-0.7615523569545639,-0.14952989679238488,-0.2834217696566574,-0.06308556381813826,-0.3220994511395333,-0.31593780767225554,0.2945586061146379
湖南,6.333333333333329,8.566666666666666,8.894072291297269,-11.229296986349306,33984507.653333336,0.6502180529056187,1.0336076103991694,0.21365391003196496,0.9768926683627706,-0.2682181801403428,0.5212308123118362,0.7388438504112788
甘肃,5.766666666666666,8.5,7.943391387669011,9.569127342559236,1037634.2166666667,0.08550988896154955,1.0159488416351166,-0.1112505752172764,0.13987472585219404,-0.5971519526851735,0.10658618570928205,0.5187920175679672
福建,6.313333333333337,3.8333333333333335,8.347881516395509,38.616823756689854,91618471.16666667,0.6302871765311304,-0.2201649718485967,0.026987877412536027,-1.0291293632428273,0.3071856463136028,-0.05696672696683096,0.4319945146167519
西藏,7.799999999999997,-3.6666666666666665,18.606671342329054,-4.770592278955473,241304.16333333333,2.111815653702045,-2.206776457804564,3.533029510261445,0.7169666451230159,-0.6051023231243378,0.7099866056315209,0.8390165178352392
